"longitude","latitude","total_cases","id","voronoipop","nbHF","voronoiadjpop","sampling","provnames","access","pet","pop","urban","W.access"
100.01,30.94506,62,210,1809830.75,1,1809830.75,1,"Sichuan",0.715297429834729,-1.50844302473174,-0.265446935515747,-0.482501700463786,0.360711483023342
100.037,25.73038,22,81,3549065,1,3549065,1,"Yunnan",0.20790644081191,-0.526196057135534,0.353467080286834,-0.482501700463786,-0.00454833127636948
100.14583333,22.02083333,NA,23,1420865,1,1420865,0,"Yunnan",-0.298342981379616,0.753032470481958,0.45567225369535,0.516281589276591,0.339457108407727
100.14583333,22.64583333,NA,36,3045175,1,3045175,0,"Yunnan",-0.494255631230195,0.922688098775253,0.559059294225986,0.411989947484788,0.264462511412111
100.14583333,23.27083333,NA,36,3045175,1,3045175,0,"Yunnan",-0.062399208353479,0.902503473445001,0.327334711940518,-0.482501700463786,0.246927717824985
100.14583333,23.89583333,NA,36,3045175,1,3045175,0,"Yunnan",-0.222504310516033,0.337836181275447,1.08763979847707,0.630703903832442,0.154797974417098
100.14583333,24.52083333,NA,81,3549065,1,3549065,0,"Yunnan",-0.560406241720314,0.533094436570425,0.863060141630446,0.781245674195324,0.0603874009210167
100.14583333,25.14583333,NA,81,3549065,1,3549065,0,"Yunnan",-0.240159056214043,0.205189357601134,0.678832405497833,-0.482501700463786,0.00461219996870952
100.14583333,26.39583333,NA,81,3549065,1,3549065,0,"Yunnan",-0.00235673495147229,-0.0258879316319394,0.380614720329088,-0.482501700463786,0.0431516752669532
100.14583333,27.64583333,NA,104,2062884,1,2062884,0,"Yunnan",0.714643449157559,-1.56241906784938,-0.0189241681740877,-0.482501700463786,0.264264093579674
100.14583333,28.27083333,NA,104,2062884,1,2062884,0,"Sichuan",0.17050967030835,-0.110609562528691,0.00536284870581765,-0.482501700463786,0.393870956922591
100.14583333,28.89583333,NA,104,2062884,1,2062884,0,"Sichuan",1.0321461929891,-1.30211595368132,-0.395857653039104,-0.482501700463786,0.398692110306858
100.14583333,29.52083333,NA,210,1809830.75,1,1809830.75,0,"Sichuan",0.760194164595329,-1.56368838550462,-0.369093642255976,-0.482501700463786,0.339027041651502
100.14583333,30.14583333,NA,210,1809830.75,1,1809830.75,0,"Sichuan",0.798969743867639,-1.26913743207098,-0.309337313604051,-0.482501700463786,0.311806163460001
100.14583333,32.02083333,NA,210,1809830.75,1,1809830.75,0,"Sichuan",0.773510870510695,-1.29444265852732,-0.0915838872346881,-0.482501700463786,0.147493347781034
100.14583333,32.64583333,NA,210,1809830.75,1,1809830.75,0,"Sichuan",1.40372692568202,-2.00202435544728,-0.324321505925978,-0.482501700463786,0.082533535343805
100.14583333,33.27083333,NA,210,1809830.75,1,1809830.75,0,"Qinghai",1.10146583895973,-1.43078696263727,-0.451198184723728,-0.482501700463786,0.0209958738473624
100.14583333,33.89583333,NA,503,540392.9375,1,540392.9375,0,"Qinghai",0.789817699040587,-1.28728356142953,-0.296160586087355,-0.482501700463786,-0.0157076174031802
100.14583333,34.52083333,NA,503,540392.9375,1,540392.9375,0,"Qinghai",1.19413963735236,-1.13816552988811,-0.136038884685634,-0.482501700463786,-0.0698279571736735
100.14583333,35.14583333,NA,329,3295733.75,1,3295733.75,0,"Qinghai",0.0710194420997683,-0.66291781630482,-0.395333589467201,-0.482501700463786,-0.147271980481201
100.14583333,35.77083333,NA,329,3295733.75,1,3295733.75,0,"Qinghai",0.171329185319815,-0.249774450376278,-0.0297490817659659,-0.482501700463786,-0.22486685794148
100.14583333,36.39583333,NA,329,3295733.75,1,3295733.75,0,"Qinghai",0.197147716502196,0.0343147920021786,-0.122968349488312,-0.482501700463786,-0.254742683802365
100.14583333,37.02083333,NA,552,708268,1,708268,0,"Qinghai",-0.0244663763399422,-0.535478521004447,NA,-0.482501700463786,-0.289164148878964
100.14583333,39.52083333,NA,352,2278122.75,1,2278122.75,0,"Gansu",0.0793748937023196,1.26261010659643,-0.129996483806099,-0.482501700463786,-0.0883118331206819
100.14583333,40.14583333,NA,352,2278122.75,1,2278122.75,0,"Inner Mongol",0.630030322730962,1.52595345003987,-1.3057025007314,-0.482501700463786,-0.000547440219234202
100.14583333,40.77083333,NA,352,2278122.75,1,2278122.75,0,"Inner Mongol",0.116573843683817,1.65868520309645,-0.379651491285608,-0.482501700463786,0.0584314151663105
100.14583333,41.39583333,NA,352,2278122.75,1,2278122.75,0,"Inner Mongol",-0.0326920861587001,1.82805763348642,-0.952846364049769,-0.482501700463786,0.117940562761253
100.14583333,42.02083333,NA,352,2278122.75,1,2278122.75,0,"Inner Mongol",0.425506457363783,1.87668104936192,-1.3057025007314,-0.482501700463786,0.195018408164295
100.14583333,42.64583333,NA,352,2278122.75,1,2278122.75,0,"Inner Mongol",0.364651708353179,1.60294975575095,-1.61536197019921,-0.482501700463786,0.264750708238237
100.2712,37.8007,4,552,708268,1,708268,1,"Qinghai",0.318488751638299,-1.34543328076973,-0.211680476056785,-0.482501700463786,-0.225863556541844
100.5235,26.94233,12,104,2062884,1,2062884,1,"Yunnan",-0.1932458182838,-0.0365291628097372,0.351788600686878,0.374227561816086,0.144417907260762
100.7214,23.19205,6,36,3045175,1,3045175,1,"Yunnan",0.11701947320957,0.609815995248794,0.148504002952142,-0.482501700463786,0.128283194402414
100.77083333,22.64583333,NA,36,3045175,1,3045175,0,"Yunnan",-0.367403476247053,0.666360644340715,0.233172657456554,-0.482501700463786,0.144219687652374
