"x","y","sampling","total_cases","Waccess","access","elevation","aridity","irrigation","lst","pet","pop","urban"
114.291938782,30.5675144200001,1,2639,-4.39670170130082,-2.68503625232202,-1.76752531879667,1.04388995107911,-0.404735339899014,-1.30829577307251,-0.0330090776401947,3.32775728507158,2.88033019636341
114.1291,22.65389,1,140,-1.01373987201666,-1.74417569061672,-1.47088837342979,2.26549956332392,1.00035657003331,-0.562087013277447,0.482711650136901,2.96938845087198,2.73063800301404
121.4555,31.2045,1,121,-1.42306328430165,-2.4560933971999,-2.09527130789699,0.756405329160185,0.579925735673317,-0.87308443206059,0.194352905894432,3.99148414332307,3.65366078025723
110.1654,21.10003,1,9,-0.764324261953259,-2.03970479375436,-1.91771605102301,1.1916540482905,0.862388562561029,-0.145457960343817,1.00583381422841,1.90607884716437,1.56891025759766
102.8739,25.39236,1,23,-0.246662603781487,-0.48526337978834,0.557911936145933,0.747361613860248,-0.404735339899014,0.0129170754471826,-0.262117806335338,0.84080715218157,1.02750741488956
113.7218,27.50699,1,1,-1.82335695593828,-0.658194440627973,-0.830357765466481,1.63751690328383,0.892075639835089,-1.00325289989039,-0.0767585428641827,1.27766395659574,0.55942392024932
120.4404,27.90538,1,223,-1.17651007593066,-1.24800732337204,-1.165043305882,1.43746034398306,1.07934778733915,-0.411093054868674,0.0997676838147302,1.4169931043945,1.21215141292392
116.6081,28.21876,1,1,-2.08135122633666,-1.51343916145636,-1.54411082288116,1.80371379894366,1.5115628501465,0.000630083761302366,0.256931481250924,2.14817683777537,2.60692781358949
113.1532,28.22759,1,75,-2.06315378082432,-1.78566845999251,-1.49113922380217,1.35535824481231,0.810407209063267,-0.0737363346580602,-0.0798341912706575,2.31779027480305,2.31586387199365
107.1356,29.95723,1,9,-0.795789330366032,-0.357020679464979,-0.715516568007647,1.22761462960575,1.20939666701957,-1.02108486324674,-0.48258861419356,1.65221063548934,0.924880984189078
103.8256,30.70291,1,46,-0.447113773661383,-1.97770452266253,-0.561301066927793,1.18478640681142,2.26102098147402,-0.333509786113786,-0.954269706399851,2.4903945233688,3.12699994698708
108.4023,30.70612,1,33,-0.959417133310229,-1.74522089236598,-1.01869805618664,1.24723753331369,0.65659938429367,-2.27273791632164,-0.307127134105666,1.57851536374842,1.19618000534293
109.8962,31.11774,1,6,-1.28900837493091,-0.833709830371134,-0.873077293650164,1.00954099349785,0.72383376381662,-1.35050795630539,-0.0979656986845987,1.82901440601112,1.00342648384082
113.468,34.62931,1,49,-1.60654890527932,-0.724604205574182,-0.961116989236369,0.0644446254569552,2.00362814791613,-0.298237484265719,0.711067821109899,1.45305319639591,1.54315401835626
117.3333,39.29713,1,30,-0.821925939259382,-1.0416051107412,-2.38723582737573,-0.0393373352979989,1.10275941526115,0.0100997745127044,0.718383996956305,1.37446892949549,1.65597372304431
116.4172,39.64238,1,11,-0.821546231376436,-1.50821063879836,-1.73945904099783,-0.00847331130683327,1.96614995168678,0.405475288892578,0.63992902441662,1.49209581360108,1.97247080701891
116.7363,39.80292,1,9,-0.819945038280875,-1.1823266541726,-1.91602541928402,-0.026002041247415,2.1832956245481,0.145481032294263,0.598687255282003,1.90006750225724,2.2071206594254
116.2499,39.8306,1,6,-0.828218035596169,-1.97570877361824,-1.52236442035417,-0.00718198549296261,2.46970592003446,0.054104004453914,0.74361441573964,2.54484678086482,1.92022301440624
116.3591,39.91093,1,12,-0.827739333185476,-2.53326317103558,-1.51655947425147,0.0170521917104974,0.765558072190306,-1.0739231371131,0.650616197465676,3.86065609838236,4.28582555526397
