id,pop,logpop,nbHF,adjpop,longitude,latitude,sampling,total_cases,adj_cases,Waccess,access,elevation,aridity,irrigation,lst,pet,pop.1,urban
1,9087377.0,16.0223969756994,1,9087377.0,114.2919388,30.56751442,1,2639.0,29.040283021162214,-4.39670170130082,-2.68503625232202,-1.7675253187966697,1.04388995107911,-0.404735339899014,-1.30829577307251,-0.0330090776401947,3.3277572850715798,2.8803301963634103
2,10514420.0,16.1682583014088,1,10514420.0,114.1291,22.65389,1,140.0,1.3315047334993275,-1.01373987201666,-1.74417569061672,-1.4708883734297902,2.2654995633239197,1.0003565700333101,-0.562087013277447,0.482711650136901,2.96938845087198,2.73063800301404
3,22972066.0,16.9497895575562,1,22972066.0,121.4555,31.2045,1,121.0,0.5267266775221697,-1.42306328430165,-2.4560933971998997,-2.09527130789699,0.756405329160185,0.5799257356733171,-0.8730844320605899,0.194352905894432,3.9914841433230697,3.65366078025723
4,2904529.5,14.8817823173064,1,2904529.5,110.1654,21.10003,1,9.0,0.30986085698217214,-0.764324261953259,-2.03970479375436,-1.91771605102301,1.1916540482905,0.862388562561029,-0.145457960343817,1.00583381422841,1.9060788471643701,1.56891025759766
5,1011995.25,13.8274354232891,1,1011995.25,102.8739,25.39236,1,23.0,2.2727379402225454,-0.24666260378148702,-0.48526337978834005,0.5579119361459329,0.7473616138602479,-0.404735339899014,0.0129170754471826,-0.26211780633533804,0.84080715218157,1.02750741488956
6,1629229.625,14.3036184521491,1,1629229.625,113.7218,27.506990000000002,1,1.0,0.061378702219461546,-1.8233569559382798,-0.658194440627973,-0.830357765466481,1.63751690328383,0.8920756398350892,-1.00325289989039,-0.0767585428641827,1.27766395659574,0.55942392024932
7,5090698.0,15.4429257071924,1,5090698.0,120.4404,27.905379999999997,1,223.0,4.380538778768648,-1.17651007593066,-1.2480073233720401,-1.165043305882,1.4374603439830602,1.07934778733915,-0.411093054868674,0.0997676838147302,1.4169931043944999,1.21215141292392
8,2248483.5,14.625766991684598,1,2248483.5,116.6081,28.218759999999996,1,1.0,0.04447442020366171,-2.08135122633666,-1.5134391614563603,-1.5441108228811598,1.80371379894366,1.5115628501465,0.000630083761302366,0.25693148125092397,2.1481768377753703,2.60692781358949
9,6675688.0,15.713982977897501,1,6675688.0,113.1532,28.227590000000003,1,75.0,1.1234797072601355,-2.06315378082432,-1.7856684599925101,-1.49113922380217,1.35535824481231,0.8104072090632671,-0.0737363346580602,-0.0798341912706575,2.3177902748030497,2.31586387199365
10,1152006.0,13.9570161966084,1,1152006.0,107.1356,29.95723,1,9.0,0.7812459310107761,-0.7957893303660319,-0.357020679464979,-0.715516568007647,1.22761462960575,1.20939666701957,-1.02108486324674,-0.48258861419356003,1.6522106354893402,0.924880984189078
11,12183292.0,16.315576144953,1,12183292.0,103.8256,30.70291,1,46.0,0.3775662604163144,-0.447113773661383,-1.97770452266253,-0.5613010669277929,1.1847864068114198,2.26102098147402,-0.333509786113786,-0.954269706399851,2.4903945233687996,3.12699994698708
12,1737702.875,14.368075187667,1,1737702.875,108.4023,30.706120000000002,1,33.0,1.8990588365113916,-0.959417133310229,-1.7452208923659798,-1.0186980561866399,1.24723753331369,0.65659938429367,-2.27273791632164,-0.307127134105666,1.57851536374842,1.19618000534293
13,1458558.0,14.1929595199914,1,1458558.0,109.8962,31.11774,1,6.0,0.4113651976815458,-1.2890083749309098,-0.833709830371134,-0.873077293650164,1.00954099349785,0.72383376381662,-1.35050795630539,-0.0979656986845987,1.82901440601112,1.00342648384082
14,6620406.0,15.705667406385901,1,6620406.0,113.46799999999999,34.62931,1,49.0,0.740135876863141,-1.6065489052793203,-0.7246042055741819,-0.961116989236369,0.0644446254569552,2.00362814791613,-0.298237484265719,0.711067821109899,1.4530531963959097,1.54315401835626
15,9011904.0,16.0140570389785,1,9011904.0,117.3333,39.297129999999996,1,30.0,0.3328930268231885,-0.8219259392593821,-1.0416051107412,-2.38723582737573,-0.0393373352979989,1.10275941526115,0.0100997745127044,0.7183839969563051,1.37446892949549,1.65597372304431
16,1290744.0,14.0707301290176,1,1290744.0,116.4172,39.642379999999996,1,11.0,0.8522216644044056,-0.8215462313764359,-1.5082106387983603,-1.73945904099783,-0.00847331130683327,1.9661499516867802,0.40547528889257795,0.63992902441662,1.4920958136010802,1.97247080701891
17,2674082.5,14.799117262783302,1,2674082.5,116.7363,39.80292,1,9.0,0.33656403644988514,-0.819945038280875,-1.1823266541726,-1.91602541928402,-0.026002041247415,2.1832956245481,0.145481032294263,0.598687255282003,1.9000675022572402,2.2071206594254
18,2157172.25,14.5843092420346,1,2157172.25,116.2499,39.8306,1,6.0,0.2781419054505267,-0.8282180355961691,-1.9757087736182402,-1.52236442035417,-0.007181985492962609,2.46970592003446,0.054104004453914,0.74361441573964,2.54484678086482,1.92022301440624
19,2469976.5,14.719719599250901,1,2469976.5,116.3591,39.91093,1,12.0,0.48583458182699313,-0.8277393331854759,-2.53326317103558,-1.5165594742514699,0.0170521917104974,0.7655580721903059,-1.0739231371131,0.650616197465676,3.8606560983823597,4.285825555263971
20,2362051.5,14.675041502418802,1,2362051.5,116.2285,40.02186,1,9.0,0.3810247151681494,-0.8255487785401892,-2.00239303454213,-1.27606122182538,-0.0672477227203983,2.5005143225658903,-0.5946593070552371,0.7914959426083341,2.73481943184092,2.39159864226071
