index,LONG,LAT,ACCESS,PET,POP,URBAN,WACCESS,IR
0,109.5792,18.29187,-0.625079970513078,1.34674292900211,2.0673635451006103,1.28466374157391,2.6559040005143397,1.3590440399282893
2,109.4197,18.39084,-0.7378504493813671,1.16083373342148,0.871804956545502,0.716921367950996,2.67451519297807,27.500755017473363
3,109.9475,18.56796,-0.523365743431955,1.26934164514,1.1132801646103898,0.613657208031641,2.6344856832168198,1.8581314688016337
4,109.0491,18.65009,-1.2655263588903798,1.23356885663222,0.8180681825949859,0.533876704524804,2.6915321832988197,0.8598553938191446
5,110.2876,18.83795,0.0427010921261702,0.980076418413597,0.75664862602037,-0.482501700463786,2.61476835240026,5.212622365056985
6,108.8407,18.99376,-0.222546405962531,1.2266942575313,0.623571597596345,0.8301839421370859,2.62722325810256,1.1028114972923393
7,109.8512,19.03311,-0.7341653334603001,1.0341750723243501,1.06130511656343,1.39334000955829,2.59961524723631,2.557765536027726
8,109.7462,19.1987,-0.680354290775778,0.810398952532514,0.41882717797337604,-0.482501700463786,2.59363838601837,10.917300595078174
9,110.4018,19.20959,-1.00684236476871,1.0702723060552901,1.6484809476697,1.2506144275814999,2.55826936442537,1.8728582110552012
10,110.3056,19.48603,-1.0528086445340699,1.05011010288866,1.13549158535987,0.8363446283672521,2.5206640866073102,1.9485637030382827
11,109.4028,19.571170000000002,-1.04853753595075,1.10163890358704,1.0573549024002802,0.872836517760749,2.5638435458571003,0.9647393786716625
12,109.9864,19.691679999999998,-2.3055163931097997,1.09460122929022,1.19561810348686,1.1241247164613102,2.51019542406975,3.475055885957353
13,110.771,19.74459,-0.5222410609957979,1.0315149105040502,0.9388022715848491,0.699550670648917,2.51501776502931,1.449965047912849
14,110.4894,19.74837,-1.2645411808225302,1.06216843572568,0.937538581474584,0.987524709107561,2.50945050382688,0.8259857171582271
15,109.7128,19.80185,-0.8024025198032909,1.1163908393781599,1.24711529246959,0.8028725318223359,2.52088286473531,2.397134824600896
16,110.4222,19.83166,-0.7849714380746441,1.0760505932115,0.9607804046301011,0.811767255389805,2.4979236221007497,16.50102930899839
