longitude,latitude,cases,access,longxlat
82.0969,43.467929999999996,1.2857142857142858,146.13302612304688,3568.582302417
84.78366,45.65789,3.0,302.85137939453125,3871.0430220774
85.01233,44.53911,1.0,413.9972229003906,3786.3735172263005
85.28061,41.376290000000004,1.6666666666666667,179.10955810546875,3528.5952507369
86.03285,44.30077,1.0,54.58528900146485,3811.3215002945
87.45765,39.56335,1.0,1303.046142578125,3460.1176171275
87.59035,44.34183,1.0,598.7105712890625,3883.9164093405
87.78531,43.73043,1.75,90.42020416259766,3838.8893539832998
88.04576,31.76117,1.0,834.1827392578125,2796.4363511392
88.6086,44.35416,1.0,569.3475952148438,3930.1600217759997
89.83591,42.396879999999996,1.0,1130.7503662109375,3808.7622959607997
91.10946,30.03105,1.0,695.0150756835938,2736.112748733
98.08459,24.560389999999998,1.5,222.69639587402344,2408.9957833901
98.49303,25.2764,1.0,91.79830932617188,2489.549223492
98.96988,24.97854,1.75,251.4579620361328,2472.1231063751998
99.88059,38.92575,1.0,990.0494995117188,3887.9268761925
100.01,30.945059999999998,4.428571428571429,1255.997314453125,3094.8154506
100.037,25.73038,1.5714285714285714,603.948974609375,2573.99002406
100.2712,37.8007,2.0,707.3169555664062,3790.3215498399995
100.5235,26.94233,2.0,355.5986328125,2708.3373097549998
100.7214,23.19205,3.0,534.8143310546875,2335.93574487
100.9477,21.93139,2.8,285.7898254394531,2213.923378303
101.4437,36.82615,1.875,142.70181274414062,3735.780912755
101.4838,25.01087,4.0,175.72994995117188,2538.198128906
101.569,25.35525,1.0,105.50968170166016,2575.3073872500004
101.7307,26.808459999999997,1.5,165.59713745117188,2727.243401722
101.7543,37.42092,1.0,355.7856140136719,3807.739519956
102.0499,38.42935,1.0,54.97119140625,3921.711324565
102.0762,27.892709999999997,1.6,622.4189453125,2847.181844502
102.2032,24.14295,1.8333333333333333,151.92352294921875,2467.48674744
102.4916,24.366789999999998,1.0,217.1682891845703,2497.391293964
102.6656,29.92197,1.0,898.0029907226562,3071.9570032320003
102.7093,30.66507,38.66666666666666,729.7239990234375,3149.587874151
102.7657,34.33256,1.5,1917.984375,3528.209561192
102.8739,25.39236,2.375,240.02105712890625,2612.2111034040004
103.036,23.44225,1.3333333333333333,102.04344177246094,2415.395671
103.0791,34.99238,1.0,226.02366638183602,3606.9830372579995
103.1088,36.275659999999995,1.0,191.6078948974609,3740.3397718079996
103.1373,23.30956,1.0,46.4955940246582,2404.085082588
103.1937,35.58106,1.0,74.79155731201172,3671.741231322
103.2668,36.60351,1.0,250.9058837890625,3779.927346468
103.2798,35.63012,1.0,292.9776916503906,3679.8716675759997
103.4879,23.33841,1.0,55.69406509399414,2415.243040239
103.51899999999999,36.12968,1.25,15.915900230407715,3740.1083439199997
103.5687,29.21265,1.5,88.77900695800781,3025.5161840550004
103.6554,36.351259999999996,2.5,366.7755126953125,3768.0043958039996
103.7518,29.92724,1.25,120.33069610595705,3105.0050190320003
103.7711,35.96467,1.0,53.42794418334961,3732.093367037
103.8256,30.70291,6.357142857142858,37.066253662109375,3187.7480524959997
103.8756,36.07809,1.4285714285714286,46.859657287597656,3747.6332456040004
103.9368,25.70936,1.6,215.41400146484366,2672.1486084480002
104.0039,27.65652,2.4,112.45777893066406,2876.385940428
104.1369,35.13411,1.0,242.95758056640625,3658.7572996589997
104.1535,36.56493,1.0,12.546630859375,3808.3654367549993
104.3416,24.98012,1.0,309.4786682128906,2606.4656889919997
104.4301,31.13417,1.6,162.67494201660156,3251.344486517
104.4519,35.12274,1.0,155.15086364746094,3668.6369262059998
104.6208,36.61864,1.0,97.17705535888672,3831.071411712
104.6236,35.10665,1.75,307.8049621582031,3672.98410694
104.6293,27.132990000000003,2.0,228.76927185058602,2838.9057506070003
104.633,28.57595,1.0,302.5088806152344,2989.98737635
104.68299999999999,29.28939,5.0,135.61766052246094,3066.10121337
104.7008,31.8534,2.0,368.5230712890625,3335.07646272
104.7145,23.69131,1.0,92.1619644165039,2480.8236809950004
104.7303,36.72572,1.0,104.39225006103516,3846.2956733160004
104.8231,26.648809999999997,1.0,111.46607208251952,2793.4108755109996
104.8908,26.136229999999998,2.0,512.14794921875,2741.4500736839996
104.9131,29.6418,1.8,275.68093872070307,3109.81312758
105.0565,34.10804,1.3333333333333333,293.37298583984375,3583.2713042600003
105.1839,35.20822000000001,1.0,281.2279663085937,3703.337891658001
105.2156,27.06873,3.0,67.18882751464844,2848.0526681879996
105.4632,25.267139999999998,1.3333333333333333,466.7421569824219,2664.7534392479997
105.4711,30.633309999999998,2.6,42.58491897583008,3230.928902341
105.4777,37.0548,1.0,277.19058227539057,3908.45507796
105.5027,29.465999999999998,1.25,74.39354705810547,3108.7425582
105.6275,34.40163,1.0,402.676513671875,3633.7581728249997
105.666,28.44237,2.0,486.802734375,3005.39146842
105.6869,27.227520000000002,2.0,196.96810913085938,2877.592183488
105.7378,34.64971,1.0,38.47792434692383,3663.7841060379997
105.7388,29.65237,1.25,64.65664672851561,3135.4060209560002
105.7818,32.26332,1.0,261.50827026367193,3412.872063576
105.8098,30.14745,1.3333333333333333,169.236328125,3189.8956550099997
105.8705,29.29301,1.5,62.1194953918457,3101.265615205
105.9499,25.995820000000002,1.0,359.3459167480469,2754.2545294180004
106.0291,29.814559999999997,1.75,139.55169677734378,3161.2109636959995
106.0543,35.25054,1.0,225.61053466796875,3738.471344322
106.1281,34.73969,1.0,125.41349792480469,3686.8572942890005
106.1453,34.415,2.333333333333333,220.789794921875,3652.9904995
106.1527,37.07805,3.0,519.9471435546875,3935.9351182349997
