"longitude","latitude","date","cases","Org.ID"
104.6208,36.61864,2020-02-06,1,85
104.6208,36.61864,2020-01-23,1,85
104.6236,35.10665,2020-02-03,1,482
104.6236,35.10665,2020-02-07,3,482
104.6236,35.10665,2020-02-05,2,482
104.6236,35.10665,2020-02-13,1,482
104.6293,27.13299,2020-02-03,2,480
104.633,28.57595,2020-01-27,1,281
104.633,28.57595,2020-01-29,1,281
104.633,28.57595,2020-02-06,1,281
104.633,28.57595,2020-02-17,1,281
104.683,29.28939,2020-01-27,9,285
104.683,29.28939,2020-02-08,1,285
104.7008,31.8534,2020-01-26,3,41
104.7008,31.8534,2020-02-07,1,41
104.7008,31.8534,2020-01-22,2,41
104.7008,31.8534,2020-02-06,1,41
104.7008,31.8534,2020-01-27,3,41
104.7145,23.69131,2020-02-10,1,600
104.7303,36.72572,2020-02-06,1,578
104.8231,26.64881,2020-02-02,1,437
104.8908,26.13623,2020-01-31,4,273
104.8908,26.13623,2020-02-08,1,273
104.8908,26.13623,2020-01-27,1,273
104.9131,29.6418,2020-02-06,1,289
104.9131,29.6418,2020-02-03,3,289
104.9131,29.6418,2020-01-29,1,289
104.9131,29.6418,2020-01-27,3,289
104.9131,29.6418,2020-02-14,1,289
105.0565,34.10804,2020-02-02,1,232
105.0565,34.10804,2020-01-26,1,232
105.0565,34.10804,2020-01-30,2,232
105.1839,35.20822,2020-01-29,1,360
105.2156,27.06873,2020-01-31,2,377
105.2156,27.06873,2020-02-07,8,377
105.2156,27.06873,2020-02-04,2,377
105.2156,27.06873,2020-01-30,1,377
105.2156,27.06873,2020-02-05,2,377
105.4632,25.26714,2020-02-07,2,153
105.4632,25.26714,2020-01-25,1,153
105.4632,25.26714,2020-02-03,1,153
105.4711,30.63331,2020-02-07,1,67
105.4711,30.63331,2020-01-23,1,67
105.4711,30.63331,2020-01-27,2,67
105.4711,30.63331,2020-02-08,2,67
105.4711,30.63331,2020-02-16,7,67
105.4777,37.0548,2020-01-23,1,86
105.5027,29.466,2020-01-31,1,380
105.5027,29.466,2020-02-02,2,380
105.5027,29.466,2020-02-03,1,380
105.5027,29.466,2020-01-30,1,380
