longitude,latitude,date,cases,Org.ID,raster_value
103.51899999999999,36.12968,2020-02-06,1,465,15.915900230407715
103.51899999999999,36.12968,2020-02-02,1,465,15.915900230407715
103.51899999999999,36.12968,2020-02-09,2,465,15.915900230407715
103.5687,29.21265,2020-02-06,1,284,88.77900695800781
103.5687,29.21265,2020-01-27,2,284,88.77900695800781
103.6554,36.351259999999996,2020-01-27,2,83,366.7755126953125
103.6554,36.351259999999996,2020-01-28,3,83,366.7755126953125
103.6554,36.351259999999996,2020-01-26,4,83,366.7755126953125
103.6554,36.351259999999996,2020-01-25,2,83,366.7755126953125
103.6554,36.351259999999996,2020-01-23,1,83,366.7755126953125
103.6554,36.351259999999996,2020-01-31,3,83,366.7755126953125
103.7518,29.92724,2020-02-08,1,290,120.33069610595703
103.7518,29.92724,2020-02-07,1,290,120.33069610595703
103.7518,29.92724,2020-02-03,2,290,120.33069610595703
103.7518,29.92724,2020-01-27,1,290,120.33069610595703
103.7711,35.96467,2020-01-30,1,384,53.42794418334961
103.7711,35.96467,2020-02-06,1,384,53.42794418334961
103.8256,30.70291,2020-02-08,11,13,37.066253662109375
103.8256,30.70291,2020-02-14,4,13,37.066253662109375
103.8256,30.70291,2020-02-16,1,13,37.066253662109375
103.8256,30.70291,2020-01-22,1,13,37.066253662109375
103.8256,30.70291,2020-01-25,13,13,37.066253662109375
103.8256,30.70291,2020-02-03,10,13,37.066253662109375
103.8256,30.70291,2020-01-26,13,13,37.066253662109375
103.8256,30.70291,2020-01-21,1,13,37.066253662109375
103.8256,30.70291,2020-02-07,7,13,37.066253662109375
103.8256,30.70291,2020-01-27,4,13,37.066253662109375
103.8256,30.70291,2020-01-23,5,13,37.066253662109375
103.8256,30.70291,2020-01-29,9,13,37.066253662109375
103.8256,30.70291,2020-02-04,5,13,37.066253662109375
103.8256,30.70291,2020-02-06,5,13,37.066253662109375
103.8756,36.07809,2020-02-04,1,385,46.859657287597656
103.8756,36.07809,2020-02-16,2,385,46.859657287597656
103.8756,36.07809,2020-01-30,1,385,46.859657287597656
103.8756,36.07809,2020-01-31,2,385,46.859657287597656
103.8756,36.07809,2020-02-03,1,385,46.859657287597656
103.8756,36.07809,2020-02-02,1,385,46.859657287597656
103.8756,36.07809,2020-02-01,2,385,46.859657287597656
103.9368,25.70936,2020-02-10,1,270,215.41400146484375
