"longitude","latitude","cases","raster_value"
82.0969,43.46793,1.2857142857142858,146.13302612304688
84.78366,45.65789,3.0,302.85137939453125
85.01233,44.53911,1.0,413.9972229003906
85.28061,41.37629,1.6666666666666667,179.10955810546875
86.03285,44.30077,1.0,54.58528900146485
87.45765,39.56335,1.0,1303.046142578125
87.59035,44.34183,1.0,598.7105712890625
87.78531,43.73043,1.75,90.42020416259766
88.04576,31.76117,1.0,834.1827392578125
88.6086,44.35416,1.0,569.3475952148438
89.83591,42.39688,1.0,1130.7503662109375
91.10946,30.03105,1.0,695.0150756835938
98.08459,24.56039,1.5,222.69639587402344
98.49303,25.2764,1.0,91.79830932617188
98.96988,24.97854,1.75,251.4579620361328
99.88059,38.92575,1.0,990.0494995117188
100.01,30.94506,4.428571428571429,1255.997314453125
100.037,25.73038,1.5714285714285714,603.948974609375
100.2712,37.8007,2.0,707.3169555664062
100.5235,26.94233,2.0,355.5986328125
100.7214,23.19205,3.0,534.8143310546875
100.9477,21.93139,2.8,285.7898254394531
101.4437,36.82615,1.875,142.70181274414062
101.4838,25.01087,4.0,175.72994995117188
101.569,25.35525,1.0,105.50968170166016
101.7307,26.80846,1.5,165.59713745117188
101.7543,37.42092,1.0,355.7856140136719
102.0499,38.42935,1.0,54.97119140625
102.0762,27.89271,1.6,622.4189453125
102.2032,24.14295,1.8333333333333333,151.92352294921875
102.4916,24.36679,1.0,217.1682891845703
102.6656,29.92197,1.0,898.0029907226562
102.7093,30.66507,38.666666666666664,729.7239990234375
102.7657,34.33256,1.5,1917.984375
102.8739,25.39236,2.375,240.02105712890625
103.036,23.44225,1.3333333333333333,102.04344177246094
103.0791,34.99238,1.0,226.02366638183597
103.1088,36.27566,1.0,191.6078948974609
103.1373,23.30956,1.0,46.4955940246582
103.1937,35.58106,1.0,74.79155731201172
103.2668,36.60351,1.0,250.9058837890625
103.2798,35.63012,1.0,292.9776916503906
103.4879,23.33841,1.0,55.69406509399414
103.519,36.12968,1.25,15.915900230407715
103.5687,29.21265,1.5,88.77900695800781
103.6554,36.35126,2.5,366.7755126953125
103.7518,29.92724,1.25,120.33069610595705
103.7711,35.96467,1.0,53.42794418334961
103.8256,30.70291,6.357142857142857,37.066253662109375
103.8756,36.07809,1.4285714285714286,46.859657287597656
103.9368,25.70936,1.6,215.4140014648437
104.0039,27.65652,2.4,112.45777893066406
104.1369,35.13411,1.0,242.95758056640625
104.1535,36.56493,1.0,12.546630859375
104.3416,24.98012,1.0,309.4786682128906
104.4301,31.13417,1.6,162.67494201660156
104.4519,35.12274,1.0,155.15086364746094
104.6208,36.61864,1.0,97.17705535888672
104.6236,35.10665,1.75,307.8049621582031
104.6293,27.132990000000003,2.0,228.76927185058597
104.633,28.57595,1.0,302.5088806152344
104.683,29.28939,5.0,135.61766052246094
104.7008,31.8534,2.0,368.5230712890625
104.7145,23.69131,1.0,92.1619644165039
104.7303,36.72572,1.0,104.39225006103516
104.8231,26.64881,1.0,111.46607208251952
104.8908,26.13623,2.0,512.14794921875
104.9131,29.6418,1.8,275.68093872070307
105.0565,34.10804,1.3333333333333333,293.37298583984375
105.1839,35.20822000000001,1.0,281.2279663085937
105.2156,27.06873,3.0,67.18882751464844
105.4632,25.26714,1.3333333333333333,466.7421569824219
105.4711,30.63331,2.6,42.58491897583008
105.4777,37.0548,1.0,277.19058227539057
105.5027,29.466,1.25,74.39354705810547
105.6275,34.40163,1.0,402.676513671875
105.666,28.44237,2.0,486.802734375
105.6869,27.22752,2.0,196.96810913085938
105.7378,34.64971,1.0,38.47792434692383
105.7388,29.65237,1.25,64.65664672851561
105.7818,32.26332,1.0,261.50827026367193
105.8098,30.14745,1.3333333333333333,169.236328125
105.8705,29.29301,1.5,62.1194953918457
105.9499,25.99582,1.0,359.3459167480469
106.0291,29.81456,1.75,139.55169677734378
106.0543,35.25054,1.0,225.61053466796875
106.1281,34.73969,1.0,125.41349792480469
106.1453,34.415,2.3333333333333335,220.789794921875
106.1527,37.07805,3.0,519.9471435546875
106.1671,37.28727,3.142857142857143,234.2950897216797
106.1836,35.95574000000001,1.0,404.6380310058594
106.189,29.56476,1.8,209.26522827148443
106.2033,31.19703,1.625,185.21080017089844
106.2579,29.03267,1.3333333333333333,294.6404113769531
106.2863,23.98862,1.0,126.6436538696289
106.3081,30.11512,1.75,105.14933776855469
106.3496,38.2349,2.2,128.46040344238278
106.3625,29.431890000000006,1.8571428571428572,90.14494323730469
106.3637,29.62567,4.0,108.83322143554688
106.4452,29.41508,2.0,44.1617431640625
106.469988,29.527955,2.0,17.503049850463867
106.4984,37.44059,1.3333333333333333,330.9934387207031
106.5376,29.55234,1.8,8.629926681518555
106.567,29.6426,1.75,17.49278450012207
106.5993,35.20198,1.4,460.68304443359375
106.6421,35.30775,1.0,544.8287353515625
106.6592,29.540340000000004,1.5,21.08973693847656
106.6603,26.3924,1.0,35.51261520385742
106.6635,30.42717,2.6,142.5355682373047
106.7064,26.84311,2.5,93.14693450927734
106.707,29.62085,2.0,56.09593200683594
106.7179,28.88242,2.3333333333333335,177.7586669921875
106.7187,26.54928,2.0,4.933279991149902
106.7437,29.81392,1.7142857142857142,213.12738037109372
106.7477,29.37342,1.0,291.57135009765625
106.8782,26.82942,2.0,624.9940795898438
106.8807,39.55261,1.0,145.02752685546875
106.8838,39.74473,1.3333333333333333,390.5309753417969
106.936514,27.9135627,3.0,97.40975952148438
107.038,32.01936,1.75,669.29052734375
107.0848,28.17143,2.4,585.6607666015625
107.1014,33.0928,1.7142857142857142,104.17266845703124
107.1356,29.95723,1.4,284.9953918457031
107.1928,26.43055,1.0,199.4807281494141
107.2001,34.38244,1.6,29.869794845581048
107.2502,26.0176,3.0,721.140380859375
107.271223,34.345903,1.0,17.300945281982422
107.3324,29.66086,1.0,246.86167907714844
107.4299,40.92462,1.0,74.55840301513672
107.4326,30.25976,1.5555555555555556,257.4913330078125
107.567,41.45351,2.0,309.5408020019531
107.596,38.26614,1.0,455.0575256347656
107.6062,28.93119,3.0,384.1315612792969
107.6465,31.370140000000006,2.0,140.97727966308594
107.6714,36.04074,1.0,388.1419372558594
107.6779,34.40641,1.0,88.1424560546875
107.7047,29.37578,1.0,356.1851501464844
107.7139,30.661240000000006,1.0,146.86810302734375
107.7436,37.37923,1.0,105.1172332763672
107.823,29.88972,1.6,424.4361572265625
107.8409,24.64574,1.9230769230769231,223.9274139404297
107.8716,32.51348,1.0,854.5550537109375
107.8793,30.07034,7.333333333333333,329.7533264160156
107.9107,30.338520000000006,2.2857142857142856,292.4159240722656
107.9382,26.6305,1.0,102.08958435058594
107.9967,21.88401,1.4615384615384615,393.9627685546875
108.0477,34.2851,1.0,5.584396839141847
108.0604,41.03795,1.6666666666666667,206.8462219238281
108.1031,35.56590999999999,1.0,214.4817657470703
108.1799,34.31159,1.0,25.469425201416016
108.2932,30.09428,2.25,776.764892578125
108.3787,31.27337,2.7142857142857144,243.9162750244141
108.3897,34.78867,1.7142857142857142,282.7093505859375
108.4023,30.70612,3.823529411764706,51.85248184204102
108.4337,32.44509,1.0,172.3376922607422
108.4629,23.05898,2.619047619047619,189.32310485839844
108.5408,27.973740000000006,1.0,166.74732971191406
108.5576,26.50835,1.0,136.82968139648438
108.5816,34.001,1.0,73.70587158203125
108.6337,39.42306,4.666666666666667,422.5065307617188
108.7029,29.43689,1.0,380.6865539550781
108.7309,31.88474,1.0,278.51812744140625
108.7685,27.72673,1.0,344.3566589355469
108.7872,34.10727,4.333333333333333,94.96617889404295
108.7954,28.90145,1.0,222.40159606933597
108.8407,18.99376,1.0,341.7091979980469
108.85,34.316191,1.0,43.647804260253906
108.8523,31.03847,2.1,121.9726638793945
108.860978,19.361245,1.0,295.5781555175781
108.8832,35.26458,22.5,93.08995056152344
108.8847,32.81089,2.0,339.2704162597656
108.8962,34.27251,1.3333333333333333,49.58231735229492
108.9099,34.34604,1.3333333333333333,44.84156799316406
108.9258,32.76183,1.8571428571428572,174.36431884765625
108.9274,34.03647,1.0,249.1637420654297
108.9416,34.20667,1.0,50.98234939575195
108.9538,34.24815,1.0,46.06481170654297
108.9863,34.27348,2.0,37.665260314941406
108.9977,19.21995,1.0,158.6759796142578
109.0143,28.495240000000006,1.0,216.74842834472656
109.0235,22.1822,1.3333333333333333,161.03883361816406
109.0307,35.19603,2.3333333333333335,195.13853454589844
109.0491,18.65009,1.0,94.4363250732422
109.0626,34.50897,1.0,62.303306579589844
109.0673,35.039840000000005,1.0,20.41684913635254
109.0889,34.3024,1.3333333333333333,18.62952423095703
109.209979,19.6964266,1.0,133.39665222167972
109.2523,26.92336,1.0,118.442138671875
109.2596,27.52676,2.0,72.39484405517578
109.2917,34.661120000000004,1.0,60.27092361450195
109.3161,36.44222,1.0,402.8271484375
109.328,21.67666,2.0952380952380953,188.29458618164062
109.3445,30.95521,1.6,390.0378112792969
109.3486,31.5058,1.8571428571428572,1190.472900390625
109.371,24.95009,1.8461538461538463,192.2400054931641
109.4028,19.57117,3.0,121.99616241455078
109.4156,23.85711,2.2,38.1002082824707
109.4197,18.39084,2.6666666666666665,175.14500427246094
109.476623535,30.272174835,9.035714285714286,132.80561828613278
109.5704,38.04761,1.0,109.24468994140624
109.6483,18.59464,1.5,200.28680419921875
109.7128,19.80185,1.2,162.34310913085938
109.7267,28.6973,1.4,125.8232192993164
109.7429,39.82875,1.0,133.02577209472656
109.7462,19.1987,6.0,187.64627075195312
109.8294,40.63648,3.0,12.622062683105467
109.8512,19.03311,1.0,175.91744995117188
109.8538,40.21311,4.0,292.12567138671875
109.8585,34.95553,2.5,125.19081115722656
109.8962,31.11774,1.4,156.58041381835938
109.9016,33.6493,1.0,181.3584289550781
109.9065,32.72665,2.0,727.3157348632812
109.9475,18.56796,1.0,228.27252197265625
109.9751,27.64106,3.0,123.00894927978516
109.9864,19.69168,1.1428571428571428,21.245676040649414
109.9982,23.30914,2.0,152.4553680419922
110.0777,27.55503,3.090909090909091,54.82128143310547
110.1654,21.10003,1.7,33.67012405395508
110.182,22.44296,1.2222222222222223,201.6881103515625
110.2561,41.56212,2.4,280.80184936523443
110.2876,18.83795,2.0,485.495849609375
110.3056,19.48603,2.0,121.39743041992188
110.4018,19.20959,1.3333333333333333,127.96305847167969
110.4222,19.83166,2.2142857142857144,165.6992645263672
110.4319,33.68015,2.0,214.0225524902344
110.5145,25.35865,1.8823529411764706,382.0611267089844
110.5265,29.39328,1.25,599.3836059570312
110.6803,40.52088,2.0,111.3909683227539
110.6982,35.62629000000001,1.0,64.21113586425781
110.7157,36.15275,1.0,224.43402099609372
110.771,19.74459,1.5,228.6164703369141
110.782798767,32.652130127000106,19.764705882352942,11.177044868469238
110.8759,26.91525,5.533333333333333,57.813453674316406
110.9509,22.01601,2.0,134.49763488769528
110.9909,23.481720000000006,1.25,200.8524932861328
111.0727,35.18812,1.3333333333333333,60.59979629516602
111.1065,34.36358,1.0,315.9872131347656
111.1603,35.62573,2.0,51.27252197265625
111.2388,34.88375,2.0,125.0997314453125
111.2616,37.68364,1.5,365.3766479492188
111.28527069100001,30.703952789000105,29.4375,15.473525047302244
111.3626,24.36175,1.3333333333333333,156.64923095703125
111.3768,36.22827,1.0,110.61265563964844
111.4963,40.5971,5.0,208.2534027099609
111.5202,29.30245,4.6923076923076925,481.8114013671875
